FORMAT:           OCCAM2MTDATA_1.0
TITLE:            MTpy-OccamDatafile, Profile=90.1 deg, Strike=0.1 deg
SITES:            13
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
OFFSETS (M):      
   0.0
   0.0
   14.3
   43.3
   76.7
   78.6
   89.4
   90.1
   116.8
   127.5
   130.4
   132.1
   333.9
FREQUENCIES:      10
   1.000000e-03
   4.641589e-03
   2.154435e-02
   1.000000e-01
   4.641589e-01
   2.154435e+00
   1.000000e+01
   4.641589e+01
   2.154435e+02
   1.000000e+03
DATA BLOCKS:      318
SITE  FREQ  TYPE   DATUM    ERROR   
  6     9     5      2.4558   0.0434
  6     9     6     27.5734   2.8660
  6     10    1      2.2923   0.0434
  6     10    2     24.8956   2.8660
  6     10    3      0.0762   0.1000
  6     10    4     -0.1169   0.1000
  6     10    5      2.2394   0.0434
  6     10    6     28.0852   2.8660
  7     8     1      2.6779   0.0434
  7     8     2     27.7620   2.8660
  7     8     3      0.3080   0.1000
  7     8     4      0.0056   0.1000
  7     8     5      2.9652   0.0434
  7     8     6     29.7315   2.8660
  7     9     1      2.4301   0.0434
  7     9     2     29.3287   2.8660
  7     9     3      0.3071   0.1000
  7     9     4      0.0167   0.1000
  7     9     5      2.6706   0.0434
  7     9     6     26.8641   2.8660
  7     10    1      2.2089   0.0434
  7     10    2     21.4467   2.8660
  7     10    3     -0.0206   0.1000
  7     10    4     -0.0445   0.1000
  7     10    5      2.4575   0.0434
  7     10    6     22.4944   2.8660
  8     8     1      2.6173   0.0434
  8     8     2     27.5397   2.8660
  8     8     3      0.2916   0.1000
  8     8     4     -0.0147   0.1000
  8     8     5      2.6616   0.0434
  8     8     6     30.3981   2.8660
  8     9     1      2.3597   0.0434
  8     9     2     29.1293   2.8660
  8     9     3      0.2967   0.1000
  8     9     4     -0.0082   0.1000
  8     9     5      2.3584   0.0434
  8     9     6     27.0686   2.8660
  8     10    1      2.2065   0.0434
  8     10    2     21.6007   2.8660
  8     10    3      0.0208   0.1000
  8     10    4     -0.0742   0.1000
  8     10    5      2.1737   0.0434
  8     10    6     24.7753   2.8660
  9     8     1      3.3593   0.0434
  9     8     2     27.9292   2.8660
  9     8     3      0.1724   0.1000
  9     8     4      0.0890   0.1000
  9     8     5      2.6081   0.0434
  9     8     6     30.2855   2.8660
  9     9     1      3.1517   0.0434
  9     9     2     30.7272   2.8660
  9     9     3      0.2778   0.1000
  9     9     4      0.2109   0.1000
  9     9     5      2.2878   0.0434
  9     9     6     25.6833   2.8660
  9     10    1      3.0159   0.0434
  9     10    2     25.1788   2.8660
  9     10    3     -0.2642   0.1000
  9     10    4     -0.0534   0.1000
  9     10    5      1.9043   0.0434
  9     10    6     14.1107   2.8660
  10    8     1      3.0623   0.0434
  10    8     2     28.1195   2.8660
  10    8     3      0.2395   0.1000
  10    8     4      0.0062   0.1000
  10    8     5      3.1985   0.0434
  10    8     6     29.9373   2.8660
  10    9     1      2.8535   0.0434
  10    9     2     33.3473   2.8660
  10    9     3      0.2626   0.1000
  10    9     4      0.0659   0.1000
  10    9     5      2.9051   0.0434
  10    9     6     28.2793   2.8660
  10    10    1      2.6343   0.0434
  10    10    2     27.6841   2.8660
  10    10    3     -0.0307   0.1000
  10    10    4     -0.1036   0.1000
  10    10    5      2.3457   0.0434
  10    10    6     15.7712   2.8660
  11    9     1      2.1318   0.0434
  11    9     2     32.6368   2.8660
  11    9     3      0.2037   0.1000
  11    9     4      0.0175   0.1000
  11    9     5      2.4159   0.0434
  11    9     6     26.7468   2.8660
  11    10    1      1.8832   0.0434
  11    10    2     26.8870   2.8660
  11    10    3      0.1117   0.1000
  11    10    4     -0.1488   0.1000
  11    10    5      2.2479   0.0434
  11    10    6     15.0972   2.8660
  12    8     1      2.9580   0.0434
  12    8     2     28.4496   2.8660
  12    8     3      0.2172   0.1000
